Site,Lat,Long,Precip,Year
PL,32.668392,-109.877642,441.8408813,2020
PL,32.66931,-109.87794,441.8408813,2020
RP,31.90382,-109.27888,446.0279846,2020
RP,31.90382,-109.27966,446.0279846,2020
RP,31.90382,-109.27966,446.0279846,2020
RP,31.9038,-109.28021,446.0279846,2020
SC,35.20589,-106.44305,292.8190002,2020
SC,35.20635,-106.443375,292.8190002,2020
SC,35.20518,-106.44238,292.8190002,2020
SC,35.2058,-106.44234,292.8190002,2020
SH,31.917411,-109.278936,446.0279846,2020
SM,35.24837,-107.59946,398.599884,2020
SM,35.24688,-107.60036,398.599884,2020
SM,35.24745,-107.59966,398.599884,2020
SM,35.24685,-107.59916,398.599884,2020
SM,35.24711,-107.59861,398.599884,2020
SS,32.78859,-105.786,509.7269897,2020
SS,32.78859,-105.786,509.7269897,2020
SS,32.78859,-105.786,509.7269897,2020
UK,32.88197,-105.7748,549.3469849,2020
UK,32.88197,-105.7748,549.3469849,2020
UK,32.88197,-105.7748,549.3469849,2020
VC,35.92265,-106.51702,365.6918945,2020
VC,35.92213,-106.51733,365.6918945,2020
VC,35.92178,-106.51765,365.6918945,2020
CC,32.8038,-105.80444,688.6768799,2021
CH,31.91744,-109.27863,892.2071533,2021
CH,31.91721,-109.27945,892.2071533,2021
CH,31.9176,-109.2793,892.2071533,2021
HM,33.63195,-109.32533,747.3068848,2021
HM,33.63202,-109.32601,747.3068848,2021
HM,33.63202,-109.32601,747.3068848,2021
HM,33.63233,-109.32636,747.3068848,2021
JC,35.85509,-105.64057,676.7324829,2021
JC,35.85482,-105.63925,676.7324829,2021
JC,35.8555,-105.63979,676.7324829,2021
JC,35.855092,-105.640575,676.7324829,2021
JM,36.02121,-106.58978,457.9138794,2021
MM,33.99105,-107.18371,387.9606018,2021
MM,33.99009,-107.18407,387.9606018,2021
MM,33.99193,-107.18359,387.9606018,2021
MM,33.991475,-107.183675,387.9606018,2021
PL,32.66931,-109.87794,756.7340088,2021
PL,32.66931,-109.87794,756.7340088,2021
PL,32.668392,-109.877642,756.7340088,2021
PL,32.66931,-109.87794,756.7340088,2021
RP,31.90382,-109.27888,892.2071533,2021
RP,31.90382,-109.27966,892.2071533,2021
RP,31.90382,-109.27966,892.2071533,2021
RP,31.9038,-109.28021,892.2071533,2021
SC,35.20589,-106.44305,426.3035889,2021
SC,35.20635,-106.443375,426.3035889,2021
SC,35.20518,-106.44238,426.3035889,2021
SC,35.2058,-106.44234,426.3035889,2021
SH,31.917411,-109.278936,892.2071533,2021
SM,35.24837,-107.59946,634.6676636,2021
SM,35.24688,-107.60036,634.6676636,2021
SM,35.24745,-107.59966,634.6676636,2021
SM,35.24685,-107.59916,634.6676636,2021
SM,35.24711,-107.59861,634.6676636,2021
SS,32.78859,-105.786,688.6768799,2021
SS,32.78859,-105.786,688.6768799,2021
SS,32.78859,-105.786,688.6768799,2021
UK,32.88197,-105.7748,752.2215576,2021
UK,32.88197,-105.7748,752.2215576,2021
UK,32.88197,-105.7748,752.2215576,2021
VC,35.92265,-106.51702,435.9978027,2021
VC,35.92213,-106.51733,435.9978027,2021
VC,35.92178,-106.51765,435.9978027,2021
CC,32.8038,-105.80444,895.4040527,2022
CH,31.91744,-109.27863,1238.793457,2022
CH,31.91721,-109.27945,1238.793457,2022
CH,31.9176,-109.2793,1238.793457,2022
HM,33.63195,-109.32533,803.1372681,2022
HM,33.63202,-109.32601,803.1372681,2022
HM,33.63202,-109.32601,803.1372681,2022
HM,33.63233,-109.32636,803.1372681,2022
JC,35.85509,-105.64057,774.5158081,2022
JC,35.85482,-105.63925,774.5158081,2022
JC,35.8555,-105.63979,774.5158081,2022
JC,35.855092,-105.640575,774.5158081,2022
JM,36.02121,-106.58978,685.3834839,2022
MM,33.99105,-107.18371,741.6763916,2022
MM,33.99009,-107.18407,741.6763916,2022
MM,33.99193,-107.18359,741.6763916,2022
MM,33.991475,-107.183675,741.6763916,2022
PL,32.66931,-109.87794,878.1759644,2022
PL,32.66931,-109.87794,878.1759644,2022
PL,32.668392,-109.877642,878.1759644,2022
PL,32.66931,-109.87794,878.1759644,2022
RP,31.90382,-109.27888,1238.793457,2022
RP,31.90382,-109.27966,1238.793457,2022
RP,31.90382,-109.27966,1238.793457,2022
RP,31.9038,-109.28021,1238.793457,2022
SC,35.20589,-106.44305,670.9928589,2022
SC,35.20635,-106.443375,670.9928589,2022
SC,35.20518,-106.44238,670.9928589,2022
SC,35.2058,-106.44234,670.9928589,2022
SH,31.917411,-109.278936,1238.793457,2022
SM,35.24837,-107.59946,811.3121948,2022
SM,35.24688,-107.60036,811.3121948,2022
SM,35.24745,-107.59966,811.3121948,2022
SM,35.24685,-107.59916,811.3121948,2022
SM,35.24711,-107.59861,811.3121948,2022
SS,32.78859,-105.786,895.4040527,2022
SS,32.78859,-105.786,895.4040527,2022
SS,32.78859,-105.786,895.4040527,2022
UK,32.88197,-105.7748,1015.0401,2022
UK,32.88197,-105.7748,1015.0401,2022
UK,32.88197,-105.7748,1015.0401,2022
VC,35.92265,-106.51702,663.9259033,2022
VC,35.92213,-106.51733,663.9259033,2022
VC,35.92178,-106.51765,663.9259033,2022
